name,kind,dropped,n,S_max,eps_inf,lam,R2,d_aicc,identified
Pythia v1 pythia-6.9b / SciQ,LLM ladder,3,9,1.9287,0.087163,0.2878,0.9876,-1.07,True
Pythia v1 pythia-6.9b / SciQ,LLM ladder,4,8,1.8927,0.082733,0.2847,0.987,-3.01,True
Pythia v1 pythia-6.9b / SciQ,LLM ladder,5,7,1.8579,0.077869,0.2816,0.986,-5.29,True
Pythia v1 pythia-6.9b / SciQ,LLM ladder,6,6,1.8079,0.069512,0.2768,0.9845,-9.07,True
Pythia v1 pythia-6.9b / SciQ / 5-shot,LLM ladder,0,11,2.7283,0.047453,0.3191,0.9924,5.93,True
Pythia v1 pythia-6.9b / SciQ / 5-shot,LLM ladder,1,10,2.6688,0.051434,0.3317,0.9925,4.62,True
Pythia v1 pythia-6.9b / SciQ / 5-shot,LLM ladder,2,9,2.5596,0.057591,0.3521,0.9933,4.72,True
Pythia v1 pythia-6.9b / SciQ / 5-shot,LLM ladder,3,8,2.5092,0.060245,0.3616,0.9931,2.13,True
Pythia v1 pythia-6.9b / SciQ / 5-shot,LLM ladder,4,7,2.4304,0.064437,0.3769,0.993,-0.35,True
Pythia v1 pythia-6.9b / SciQ / 5-shot,LLM ladder,5,6,2.386,0.065415,0.3805,0.9925,-5.35,True
timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,primary cell,0,41,2.3072,0.09944,0.3273,0.9652,58.12,True
timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,primary cell,1,40,2.2281,0.10762,0.3493,0.9696,60.82,True
timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,primary cell,2,39,2.1774,0.11322,0.3651,0.9714,60.17,True
timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,primary cell,3,38,2.1697,0.1141,0.3675,0.9711,56.93,True
timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,primary cell,4,37,2.1537,0.11594,0.3726,0.9711,54.43,True
timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,primary cell,5,36,2.0895,0.12362,0.3951,0.9724,53.51,True
timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,primary cell,6,35,2.076,0.1253,0.4,0.9719,49.56,True
timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,primary cell,7,34,2.0744,0.1255,0.4005,0.9713,45.07,True
timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,primary cell,8,33,2.0203,0.130337,0.415,0.9711,42.42,True
timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,primary cell,9,32,2.0095,0.131287,0.4176,0.9704,39.05,True
timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,primary cell,10,31,2.0094,0.132331,0.4205,0.9697,35.62,True
timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,primary cell,11,30,2.001,0.133701,0.4244,0.969,32.04,True
timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,primary cell,12,29,1.9495,0.135369,0.4291,0.9682,28.34,True
timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,primary cell,13,28,1.902,0.136843,0.4331,0.9674,25.72,True
timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,primary cell,14,27,1.8437,0.137956,0.436,0.9666,23.5,True
timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,primary cell,15,26,1.8373,0.137836,0.4357,0.9657,20.91,True
timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,primary cell,16,25,1.835,0.137606,0.4351,0.9648,18.23,True
timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,primary cell,17,24,1.813,0.137508,0.4349,0.9636,15.58,True
timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,primary cell,18,23,1.8062,0.13801,0.4361,0.9625,13.71,True
timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,primary cell,19,22,1.7708,0.138484,0.4372,0.9611,11.73,True
timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,primary cell,20,21,1.7659,0.137802,0.4356,0.9598,9.55,True
timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,primary cell,21,20,1.7341,0.138833,0.4379,0.9582,8.17,True
timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,primary cell,22,19,1.734,0.138463,0.4371,0.9565,6.49,True
timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,primary cell,23,18,1.6899,0.137971,0.436,0.9544,4.66,True
timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,primary cell,24,17,1.6867,0.138229,0.4365,0.9523,3.48,True
timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,primary cell,25,16,1.6042,0.140168,0.4404,0.9497,2.57,True
timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,primary cell,26,15,1.6015,0.133067,0.4267,0.9482,0.82,True
timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,primary cell,27,14,1.5541,0.131572,0.4241,0.9453,-0.06,True
timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,primary cell,28,13,1.5356,0.1197,0.4047,0.9436,-1.43,True
timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,primary cell,29,12,1.5355,0.103348,0.3813,0.9417,-2.57,True
timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,primary cell,30,11,1.5095,0.090982,0.366,0.9378,-3.31,True
timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,primary cell,31,10,1.4845,0.058857,0.3317,0.934,-4.13,True
timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,primary cell,32,9,1.448,0.009217,0.291,0.9287,-4.8,True
timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,primary cell,33,8,1.3712,0.0,0.2902,0.9217,-5.6,False
timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,primary cell,34,7,1.3367,0.0,0.2996,0.9156,-7.0,False
timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,primary cell,35,6,1.2766,0.0,0.3,0.8985,-10.0,False
timm | CPU i9-10940X | PyTorch 2.4.0 compile | fp32,primary cell,0,36,2.3072,0.09944,0.4753,0.9822,70.06,True
timm | CPU i9-10940X | PyTorch 2.4.0 compile | fp32,primary cell,1,35,2.2281,0.10762,0.5057,0.9867,76.29,True
timm | CPU i9-10940X | PyTorch 2.4.0 compile | fp32,primary cell,2,34,2.1774,0.11322,0.5277,0.9889,77.9,True
timm | CPU i9-10940X | PyTorch 2.4.0 compile | fp32,primary cell,3,33,2.1697,0.1141,0.5311,0.989,73.9,True
timm | CPU i9-10940X | PyTorch 2.4.0 compile | fp32,primary cell,4,32,2.1168,0.1203,0.5565,0.9906,74.93,True
timm | CPU i9-10940X | PyTorch 2.4.0 compile | fp32,primary cell,5,31,2.0895,0.12362,0.5706,0.9911,71.63,True
timm | CPU i9-10940X | PyTorch 2.4.0 compile | fp32,primary cell,6,30,2.0744,0.1255,0.5786,0.9913,67.09,True
timm | CPU i9-10940X | PyTorch 2.4.0 compile | fp32,primary cell,7,29,2.0203,0.131578,0.6054,0.9916,64.29,True
timm | CPU i9-10940X | PyTorch 2.4.0 compile | fp32,primary cell,8,28,2.0095,0.132406,0.6088,0.9915,60.03,True
timm | CPU i9-10940X | PyTorch 2.4.0 compile | fp32,primary cell,9,27,2.001,0.133266,0.6123,0.9914,55.61,True
timm | CPU i9-10940X | PyTorch 2.4.0 compile | fp32,primary cell,10,26,1.9798,0.134586,0.6175,0.9914,52.5,True
timm | CPU i9-10940X | PyTorch 2.4.0 compile | fp32,primary cell,11,25,1.9495,0.13572,0.6219,0.9913,48.8,True
timm | CPU i9-10940X | PyTorch 2.4.0 compile | fp32,primary cell,12,24,1.9463,0.136343,0.6244,0.9911,44.29,True
timm | CPU i9-10940X | PyTorch 2.4.0 compile | fp32,primary cell,13,23,1.9064,0.137419,0.6286,0.9909,40.27,True
timm | CPU i9-10940X | PyTorch 2.4.0 compile | fp32,primary cell,14,22,1.902,0.137472,0.6289,0.9907,35.29,True
timm | CPU i9-10940X | PyTorch 2.4.0 compile | fp32,primary cell,15,21,1.8666,0.13862,0.6331,0.9904,31.82,True
timm | CPU i9-10940X | PyTorch 2.4.0 compile | fp32,primary cell,16,20,1.8437,0.138874,0.6341,0.9901,27.77,True
timm | CPU i9-10940X | PyTorch 2.4.0 compile | fp32,primary cell,17,19,1.8192,0.139934,0.6378,0.9899,24.96,True
timm | CPU i9-10940X | PyTorch 2.4.0 compile | fp32,primary cell,18,18,1.7758,0.140768,0.6406,0.9895,22.15,True
timm | CPU i9-10940X | PyTorch 2.4.0 compile | fp32,primary cell,19,17,1.7659,0.139569,0.6366,0.9892,18.66,True
timm | CPU i9-10940X | PyTorch 2.4.0 compile | fp32,primary cell,20,16,1.7478,0.138716,0.6338,0.9887,15.54,True
timm | CPU i9-10940X | PyTorch 2.4.0 compile | fp32,primary cell,21,15,1.7477,0.135624,0.624,0.9883,11.77,True
timm | CPU i9-10940X | PyTorch 2.4.0 compile | fp32,primary cell,22,14,1.7106,0.13201,0.6132,0.9878,7.94,True
timm | CPU i9-10940X | PyTorch 2.4.0 compile | fp32,primary cell,23,13,1.6899,0.124623,0.5927,0.9874,4.18,True
timm | CPU i9-10940X | PyTorch 2.4.0 compile | fp32,primary cell,24,12,1.6867,0.101754,0.538,0.9875,-0.48,True
timm | CPU i9-10940X | PyTorch 2.4.0 compile | fp32,primary cell,25,11,1.6015,0.098448,0.5314,0.9864,-1.98,True
timm | CPU i9-10940X | PyTorch 2.4.0 compile | fp32,primary cell,26,10,1.6014,0.0,0.3916,0.9892,-4.29,False
timm | CPU i9-10940X | PyTorch 2.4.0 compile | fp32,primary cell,27,9,1.4956,0.0,0.3898,0.9879,-4.8,False
timm | CPU i9-10940X | PyTorch 2.4.0 compile | fp32,primary cell,28,8,1.4652,0.0,0.3914,0.9862,-5.6,False
timm | CPU i9-10940X | PyTorch 2.4.0 compile | fp32,primary cell,29,7,1.448,0.0,0.3838,0.9852,-7.0,False
timm | CPU i9-10940X | PyTorch 2.4.0 compile | fp32,primary cell,30,6,1.2766,0.199894,0.7403,0.9924,-8.34,True
timm | RTX 3090 | PyTorch 2.4.0 eager | amp-fp16,primary cell,0,37,2.3072,0.09944,0.3284,0.986,62.46,True
timm | RTX 3090 | PyTorch 2.4.0 eager | amp-fp16,primary cell,1,36,2.2281,0.10762,0.3448,0.9867,60.25,True
timm | RTX 3090 | PyTorch 2.4.0 eager | amp-fp16,primary cell,2,35,2.1774,0.110634,0.3508,0.9864,55.92,True
timm | RTX 3090 | PyTorch 2.4.0 eager | amp-fp16,primary cell,3,34,2.1697,0.111169,0.3518,0.986,50.75,True
timm | RTX 3090 | PyTorch 2.4.0 eager | amp-fp16,primary cell,4,33,2.0735,0.112471,0.3541,0.9857,47.62,True
timm | RTX 3090 | PyTorch 2.4.0 eager | amp-fp16,primary cell,5,32,2.0322,0.112232,0.3536,0.9852,43.13,True
timm | RTX 3090 | PyTorch 2.4.0 eager | amp-fp16,primary cell,6,31,2.0203,0.110906,0.3514,0.9849,37.85,True
timm | RTX 3090 | PyTorch 2.4.0 eager | amp-fp16,primary cell,7,30,2.0095,0.109402,0.3488,0.9845,32.78,True
timm | RTX 3090 | PyTorch 2.4.0 eager | amp-fp16,primary cell,8,29,2.001,0.108911,0.3481,0.984,29.2,True
timm | RTX 3090 | PyTorch 2.4.0 eager | amp-fp16,primary cell,9,28,1.9798,0.108827,0.3479,0.9833,26.04,True
timm | RTX 3090 | PyTorch 2.4.0 eager | amp-fp16,primary cell,10,27,1.923,0.108066,0.3468,0.9827,22.48,True
timm | RTX 3090 | PyTorch 2.4.0 eager | amp-fp16,primary cell,11,26,1.9071,0.105049,0.3424,0.9822,18.32,True
timm | RTX 3090 | PyTorch 2.4.0 eager | amp-fp16,primary cell,12,25,1.902,0.100106,0.3355,0.9818,13.7,True
timm | RTX 3090 | PyTorch 2.4.0 eager | amp-fp16,primary cell,13,24,1.8666,0.097681,0.3324,0.981,10.69,True
timm | RTX 3090 | PyTorch 2.4.0 eager | amp-fp16,primary cell,14,23,1.8437,0.090881,0.324,0.9805,6.83,True
timm | RTX 3090 | PyTorch 2.4.0 eager | amp-fp16,primary cell,15,22,1.813,0.078636,0.3099,0.9803,2.78,True
timm | RTX 3090 | PyTorch 2.4.0 eager | amp-fp16,primary cell,16,21,1.789,0.064306,0.2953,0.9799,-0.03,True
timm | RTX 3090 | PyTorch 2.4.0 eager | amp-fp16,primary cell,17,20,1.7477,0.046081,0.279,0.9793,-1.83,True
timm | RTX 3090 | PyTorch 2.4.0 eager | amp-fp16,primary cell,18,19,1.6867,0.0,0.2458,0.981,-2.85,False
timm | RTX 3090 | PyTorch 2.4.0 eager | amp-fp16,primary cell,19,18,1.6015,0.0,0.2466,0.9796,-2.91,False
timm | RTX 3090 | PyTorch 2.4.0 eager | amp-fp16,primary cell,20,17,1.6014,0.0,0.2475,0.9783,-2.99,False
timm | RTX 3090 | PyTorch 2.4.0 eager | amp-fp16,primary cell,21,16,1.5356,0.0,0.2469,0.9764,-3.08,False
timm | RTX 3090 | PyTorch 2.4.0 eager | amp-fp16,primary cell,22,15,1.5355,0.0,0.2476,0.9743,-3.18,False
timm | RTX 3090 | PyTorch 2.4.0 eager | amp-fp16,primary cell,23,14,1.4486,0.0,0.246,0.9716,-3.31,False
timm | RTX 3090 | PyTorch 2.4.0 eager | amp-fp16,primary cell,24,13,1.448,0.0,0.2431,0.97,-3.47,False
timm | RTX 3090 | PyTorch 2.4.0 eager | amp-fp16,primary cell,25,12,1.3367,0.018768,0.2467,0.9775,-3.66,True
timm | RTX 3090 | PyTorch 2.4.0 eager | amp-fp16,primary cell,26,11,1.2299,0.102432,0.3057,0.9799,-3.41,True
timm | RTX 3090 | PyTorch 2.4.0 eager | amp-fp16,primary cell,27,10,1.1633,0.105964,0.3088,0.9776,-3.86,True
timm | RTX 3090 | PyTorch 2.4.0 eager | amp-fp16,primary cell,28,9,1.1491,0.083128,0.2906,0.9758,-4.61,True
timm | RTX 3090 | PyTorch 2.4.0 eager | amp-fp16,primary cell,29,8,1.136,0.010759,0.2451,0.9744,-5.6,True
timm | RTX 3090 | PyTorch 2.4.0 eager | amp-fp16,primary cell,30,7,1.1271,0.0,0.247,0.974,-7.0,False
timm | RTX 3090 | PyTorch 2.4.0 eager | amp-fp16,primary cell,31,6,1.057,0.0,0.2439,0.9664,-10.0,False
timm | RTX 4090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,0,40,2.3072,0.09944,0.344,0.9693,40.93,True
timm | RTX 4090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,1,39,2.2443,0.1059,0.3574,0.9696,39.07,True
timm | RTX 4090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,2,38,2.2281,0.10762,0.361,0.969,35.62,True
timm | RTX 4090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,3,37,2.1774,0.11322,0.3727,0.9685,32.69,True
timm | RTX 4090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,4,36,2.1697,0.1141,0.3744,0.9677,29.41,True
timm | RTX 4090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,5,35,2.0744,0.115539,0.3772,0.9668,27.03,True
timm | RTX 4090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,6,34,2.0386,0.115641,0.3774,0.9659,24.49,True
timm | RTX 4090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,7,33,2.0203,0.115069,0.3764,0.9649,21.51,True
timm | RTX 4090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,8,32,2.0095,0.114702,0.3758,0.9639,19.16,True
timm | RTX 4090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,9,31,2.001,0.114223,0.375,0.9627,16.84,True
timm | RTX 4090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,10,30,1.9798,0.113804,0.3743,0.9614,14.68,True
timm | RTX 4090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,11,29,1.923,0.112803,0.3728,0.96,12.33,True
timm | RTX 4090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,12,28,1.902,0.110404,0.3692,0.9587,9.91,True
timm | RTX 4090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,13,27,1.8666,0.108706,0.3669,0.9571,8.2,True
timm | RTX 4090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,14,26,1.8437,0.105082,0.362,0.9556,6.19,True
timm | RTX 4090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,15,25,1.8192,0.099068,0.3542,0.9543,3.98,True
timm | RTX 4090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,16,24,1.813,0.087544,0.3401,0.9535,1.42,True
timm | RTX 4090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,17,23,1.789,0.078868,0.3308,0.9517,0.02,True
timm | RTX 4090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,18,22,1.7659,0.069555,0.3217,0.9494,-1.0,True
timm | RTX 4090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,19,21,1.7477,0.049855,0.304,0.9477,-2.1,True
timm | RTX 4090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,20,20,1.6899,0.014255,0.2766,0.9466,-2.76,True
timm | RTX 4090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,21,19,1.6867,0.0,0.2724,0.9483,-2.85,False
timm | RTX 4090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,22,18,1.6015,0.0,0.2759,0.9444,-2.91,False
timm | RTX 4090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,23,17,1.5356,0.0,0.2777,0.9388,-2.99,False
timm | RTX 4090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,24,16,1.4843,0.0,0.2785,0.9318,-3.08,False
timm | RTX 4090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,25,15,1.4486,0.0,0.2792,0.923,-3.18,False
timm | RTX 4090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,26,14,1.3927,0.0,0.2741,0.9135,-3.31,False
timm | RTX 4090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,27,13,1.3594,0.0,0.2678,0.9014,-3.47,False
timm | RTX 4090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,28,12,1.323,0.0,0.2597,0.8826,-3.67,False
timm | RTX 4090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,29,11,1.3002,0.0,0.2491,0.8494,-3.93,False
timm | RTX 4090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,30,10,1.0425,0.0,0.2206,0.817,-4.29,False
timm | RTX 4090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,31,9,1.0015,0.0,0.2041,0.7568,-4.8,False
timm | RTX 4090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,32,8,0.8408,0.0,0.1675,0.7856,-5.6,False
timm | RTX 4090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,33,7,0.7651,0.0,0.1449,0.7977,-7.0,False
timm | RTX 4090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,34,6,0.7605,0.0,0.1279,0.7905,-10.0,False
timm | RTX 4090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,0,33,2.3072,0.09944,0.3438,0.9665,33.56,True
timm | RTX 4090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,1,32,2.2591,0.10434,0.3531,0.9659,30.61,True
timm | RTX 4090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,2,31,2.2443,0.1059,0.3561,0.9649,26.85,True
timm | RTX 4090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,3,30,2.2281,0.106836,0.3578,0.9637,23.2,True
timm | RTX 4090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,4,29,2.1697,0.107666,0.3593,0.9625,20.06,True
timm | RTX 4090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,5,28,2.0735,0.10863,0.3608,0.9611,18.0,True
timm | RTX 4090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,6,27,2.064,0.107607,0.3592,0.9598,15.09,True
timm | RTX 4090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,7,26,2.0179,0.106495,0.3575,0.9583,12.36,True
timm | RTX 4090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,8,25,2.0095,0.103802,0.3534,0.9569,9.37,True
timm | RTX 4090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,9,24,2.001,0.101765,0.3505,0.9551,7.14,True
timm | RTX 4090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,10,23,1.9798,0.099877,0.348,0.9529,5.2,True
timm | RTX 4090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,11,22,1.923,0.097857,0.3454,0.9504,3.51,True
timm | RTX 4090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,12,21,1.8666,0.093633,0.3402,0.9477,1.84,True
timm | RTX 4090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,13,20,1.8192,0.084941,0.3303,0.9453,0.12,True
timm | RTX 4090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,14,19,1.813,0.062312,0.3069,0.9442,-1.81,True
timm | RTX 4090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,15,18,1.789,0.010558,0.2642,0.9443,-2.9,True
timm | RTX 4090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,16,17,1.6867,0.0,0.2579,0.9397,-2.99,False
timm | RTX 4090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,17,16,1.6015,0.0,0.2616,0.9366,-3.08,False
timm | RTX 4090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,18,15,1.5356,0.0,0.2642,0.932,-3.18,False
timm | RTX 4090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,19,14,1.4843,0.0,0.2678,0.9274,-3.31,False
timm | RTX 4090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,20,13,1.4486,0.0,0.2695,0.9205,-3.47,False
timm | RTX 4090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,21,12,1.448,0.0,0.2687,0.9113,-3.67,False
timm | RTX 4090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,22,11,1.3927,0.0,0.2673,0.8973,-3.93,False
timm | RTX 4090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,23,10,1.323,0.0,0.2593,0.8835,-4.29,False
timm | RTX 4090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,24,9,1.3002,0.0,0.2513,0.8608,-4.8,False
timm | RTX 4090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,25,8,1.1491,0.0,0.2316,0.8401,-5.6,False
timm | RTX 4090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,26,7,1.0425,0.0,0.2193,0.7838,-7.0,False
timm | RTX 4090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,27,6,1.0015,0.0,0.2053,0.6812,-10.0,False
timm | RTX 5090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,0,42,2.3072,0.09944,0.3586,0.9827,66.08,True
timm | RTX 5090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,1,41,2.2443,0.1059,0.3735,0.9844,67.34,True
timm | RTX 5090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,2,40,2.2281,0.10762,0.3775,0.9844,63.9,True
timm | RTX 5090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,3,39,2.1774,0.11322,0.3906,0.9852,62.87,True
timm | RTX 5090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,4,38,2.1697,0.1141,0.3926,0.985,58.89,True
timm | RTX 5090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,5,37,2.0744,0.1255,0.4195,0.9857,58.47,True
timm | RTX 5090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,6,36,2.0203,0.126944,0.4228,0.9854,55.0,True
timm | RTX 5090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,7,35,2.0095,0.127387,0.4237,0.9849,51.58,True
timm | RTX 5090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,8,34,2.001,0.127828,0.4245,0.9845,48.11,True
timm | RTX 5090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,9,33,1.9798,0.128279,0.4254,0.9839,44.52,True
timm | RTX 5090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,10,32,1.9495,0.128448,0.4258,0.9833,40.61,True
timm | RTX 5090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,11,31,1.923,0.128093,0.4251,0.9826,36.41,True
timm | RTX 5090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,12,30,1.9086,0.126973,0.423,0.9819,31.75,True
timm | RTX 5090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,13,29,1.902,0.125121,0.4195,0.9812,26.68,True
timm | RTX 5090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,14,28,1.8437,0.124216,0.4179,0.9802,22.81,True
timm | RTX 5090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,15,27,1.8286,0.120125,0.411,0.9795,17.9,True
timm | RTX 5090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,16,26,1.813,0.112044,0.3978,0.979,11.79,True
timm | RTX 5090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,17,25,1.7659,0.106228,0.3893,0.978,7.99,True
timm | RTX 5090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,18,24,1.7477,0.096696,0.3766,0.9771,4.39,True
timm | RTX 5090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,19,23,1.6899,0.076579,0.3523,0.9767,0.45,True
timm | RTX 5090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,20,22,1.6867,0.023944,0.3019,0.9785,-2.53,True
timm | RTX 5090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,21,21,1.6015,0.0,0.286,0.9785,-2.75,False
timm | RTX 5090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,22,20,1.5356,0.0,0.2885,0.977,-2.79,False
timm | RTX 5090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,23,19,1.4843,0.0,0.2902,0.975,-2.85,False
timm | RTX 5090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,24,18,1.4486,0.0,0.2913,0.9723,-2.91,False
timm | RTX 5090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,25,17,1.3927,0.0,0.2885,0.9695,-2.99,False
timm | RTX 5090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,26,16,1.3594,0.0,0.2844,0.967,-3.08,False
timm | RTX 5090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,27,15,1.3367,0.0,0.281,0.9624,-3.18,False
timm | RTX 5090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,28,14,1.3002,0.0,0.2756,0.9565,-3.31,False
timm | RTX 5090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,29,13,1.1491,0.0,0.2629,0.9577,-3.47,False
timm | RTX 5090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,30,12,1.0727,0.0,0.263,0.9475,-3.67,False
timm | RTX 5090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,31,11,1.0425,0.0,0.2737,0.9406,-3.93,False
timm | RTX 5090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,32,10,1.0015,0.0,0.2634,0.9278,-4.29,False
timm | RTX 5090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,33,9,0.9121,0.0,0.2557,0.8956,-4.8,False
timm | RTX 5090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,34,8,0.8408,0.0,0.2315,0.8931,-5.6,False
timm | RTX 5090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,35,7,0.7651,0.0,0.2075,0.8872,-7.0,False
