cell,n_front,n,sigma,eps_inf,alpha,lam,boot_lo,boot_hi,boot_se,bias,lam_corrected,n_boot
timm | CPU i7-12700H | PyTorch 2.4.0 compile |,41,1091,0.12968386602334328,0.09953953953953952,0.5679210455922848,0.2839605227961424,0.2525735816493341,0.3225260838392202,0.018345274461461954,0.01157944431650737,0.280710056329788,200
timm | CPU i9-10940X | PyTorch 2.4.0 compile |,36,1086,0.14076705718321017,0.09953953953953952,0.8231437628804199,0.41157188144020995,0.3452105744355364,0.4605455392802484,0.024019262867659628,0.00507357444934331,0.4094942817153468,200
timm | RTX 3090 | PyTorch 2.4.0 eager | amp-fp,37,1091,0.1276111445148178,0.09953953953953952,0.6245789695721944,0.3122894847860972,0.28684852445918074,0.3461227671772803,0.013180761278512946,0.032660165493338056,0.30241263798231777,200
timm | RTX 4090 | PyTorch 2.9.1 compile | amp-,40,1191,0.12696616126527815,0.09953953953953952,0.6365749776334356,0.3182874888167178,0.2948195590677017,0.34201503434958574,0.012123578609192701,0.009476244393798572,0.3152996324424186,200
timm | RTX 4090 | PyTorch 2.9.1 eager | amp-fp,33,1193,0.13320009313340048,0.09953953953953952,0.6589987911988385,0.32949939559941926,0.30217374836745603,0.36058153429413226,0.015077725688182953,0.012290669905064888,0.3254987973269778,200
timm | RTX 5090 | PyTorch 2.9.1 compile | amp-,42,1193,0.12686966520998555,0.09953953953953952,0.6250011842867145,0.31250059214335724,0.283391862767423,0.334239950160523,0.013067141263285571,0.007670845025400386,0.31012169666919365,200
timm | RTX 5090 | PyTorch 2.9.1 eager | amp-fp,34,1193,0.13064208404098215,0.09953953953953952,0.6420954237467816,0.3210477118733908,0.29084650254100874,0.3429087915975364,0.01320118232819543,0.002512995189200895,0.3202429428985113,200
timm | RTX Pro 6000 | PyTorch 2.9.1 compile | ,36,1187,0.12599612770496,0.09953953953953952,0.5711726974143979,0.28558634870719896,0.2684529620925384,0.3086620299937097,0.01008286303851109,0.02158691331535989,0.27955169059515894,200
timm | RTX Pro 6000 | PyTorch 2.9.1 eager | am,36,1193,0.13132777286723218,0.09953953953953952,0.6588212162052054,0.3294106081026027,0.3060361314276257,0.36985591238729254,0.01820638175764532,0.011904757665136101,0.3255351905476589,200
