source,cell,task,group,n,n_front,eps_inf,alpha,lambda_star,boot_lo,boot_hi,boot_se,R2,S_range,x_range,d_aicc,status
timm,timm | RTX 5090 | PyTorch 2.9.1 eager | amp-fp16,Image classification,Primary vision inference,1193,34,0.09944,0.6876,0.3438,0.3175,0.4089,0.0232,0.9789,1.781,7.662,50.08,identified
timm,timm | RTX Pro 6000 | PyTorch 2.9.1 compile | bf16,Image classification,Primary vision inference,1187,36,0.09347,0.5378,0.2689,0.2408,0.3585,0.0294,0.9693,1.781,7.929,29.05,identified
timm,timm | RTX Pro 6000 | PyTorch 2.9.1 eager | amp-fp16,Image classification,Primary vision inference,1193,36,0.09806,0.6478,0.3239,0.2932,0.4035,0.0279,0.9727,1.781,7.567,38.83,identified
ultralytics,ultralytics | CPU ONNX | ONNX Runtime,Image classification,Primary vision inference,10,5,,,,,,,,,,,excluded: front shorter than six points
ultralytics,ultralytics | CPU ONNX | ONNX Runtime,Instance segmentation,Primary vision inference,10,5,,,,,,,,,,,excluded: front shorter than six points
ultralytics,ultralytics | CPU ONNX | ONNX Runtime,Object detection,Primary vision inference,20,7,0.43157,1.0523,0.5262,0.3941,0.6593,0.0827,0.9949,0.337,3.771,18.88,identified
ultralytics,ultralytics | CPU ONNX | ONNX Runtime,Oriented detection,Primary vision inference,10,6,0.18071,0.719,0.3595,0.1771,0.6418,0.1304,0.9934,0.147,2.705,3.77,identified
ultralytics,ultralytics | CPU ONNX | ONNX Runtime,Pose estimation,Primary vision inference,11,6,0.27891,0.889,0.4445,0.276,0.5534,0.052,0.9983,0.566,4.357,18.07,identified
ultralytics,ultralytics | NVIDIA T4 | TensorRT10,Image classification,Primary vision inference,5,5,,,,,,,,,,,excluded: front shorter than six points
ultralytics,ultralytics | NVIDIA T4 | TensorRT10,Instance segmentation,Primary vision inference,5,5,,,,,,,,,,,excluded: front shorter than six points
ultralytics,ultralytics | NVIDIA T4 | TensorRT10,Object detection,Primary vision inference,5,5,,,,,,,,,,,excluded: front shorter than six points
ultralytics,ultralytics | NVIDIA T4 | TensorRT10,Oriented detection,Primary vision inference,5,5,,,,,,,,,,,excluded: front shorter than six points
ultralytics,ultralytics | NVIDIA T4 | TensorRT10,Pose estimation,Primary vision inference,5,5,,,,,,,,,,,excluded: front shorter than six points
