label,suite,model,task,shots,resource,n_sizes,n_front,eps_min,eps_inf,floor_lo,floor_hi,alpha,lambda_star,boot_lo,boot_hi,boot_se,R2,R2_power,S_range,x_range,d_aicc,status
Pythia v0 deduped / LAMBADA / 5-shot,Pythia v0 deduped,,LAMBADA,5,parameters,5,5,,,,,,,,,,,,,,,excluded: front shorter than six points
Pythia v0 deduped / LogiQA,Pythia v0 deduped,,LogiQA,0,parameters,0,0,,,,,,,,,,,,,,,excluded: front shorter than six points
Pythia v0 deduped / LogiQA / 5-shot,Pythia v0 deduped,,LogiQA,5,parameters,2,1,,,,,,,,,,,,,,,excluded: front shorter than six points
Pythia v0 deduped / PIQA,Pythia v0 deduped,,PIQA,0,parameters,5,5,,,,,,,,,,,,,,,excluded: front shorter than six points
Pythia v0 deduped / PIQA / 5-shot,Pythia v0 deduped,,PIQA,5,parameters,5,4,,,,,,,,,,,,,,,excluded: front shorter than six points
Pythia v0 deduped / SciQ,Pythia v0 deduped,,SciQ,0,parameters,5,5,,,,,,,,,,,,,,,excluded: front shorter than six points
Pythia v0 deduped / SciQ / 5-shot,Pythia v0 deduped,,SciQ,5,parameters,5,4,,,,,,,,,,,,,,,excluded: front shorter than six points
Pythia v0 deduped / WSC,Pythia v0 deduped,,WSC,0,parameters,2,2,,,,,,,,,,,,,,,excluded: front shorter than six points
Pythia v0 deduped / WSC / 5-shot,Pythia v0 deduped,,WSC,5,parameters,0,0,,,,,,,,,,,,,,,excluded: front shorter than six points
Pythia v0 deduped / Winogrande,Pythia v0 deduped,,Winogrande,0,parameters,5,5,,,,,,,,,,,,,,,excluded: front shorter than six points
Pythia v0 deduped / Winogrande / 5-shot,Pythia v0 deduped,,Winogrande,5,parameters,5,5,,,,,,,,,,,,,,,excluded: front shorter than six points
Pythia v1 / ARC-Challenge,Pythia v1,,ARC-Challenge,0,parameters,4,4,,,,,,,,,,,,,,,excluded: front shorter than six points
Pythia v1 / ARC-Challenge / 5-shot,Pythia v1,,ARC-Challenge,5,parameters,4,4,,,,,,,,,,,,,,,excluded: front shorter than six points
Pythia v1 / LogiQA,Pythia v1,,LogiQA,0,parameters,1,1,,,,,,,,,,,,,,,excluded: front shorter than six points
Pythia v1 / LogiQA / 5-shot,Pythia v1,,LogiQA,5,parameters,1,1,,,,,,,,,,,,,,,excluded: front shorter than six points
Pythia v1 / WSC,Pythia v1,,WSC,0,parameters,2,1,,,,,,,,,,,,,,,excluded: front shorter than six points
Pythia v1 / WSC / 5-shot,Pythia v1,,WSC,5,parameters,0,0,,,,,,,,,,,,,,,excluded: front shorter than six points
Pythia v1 / Winogrande,Pythia v1,,Winogrande,0,parameters,7,7,0.72139,0.0,,,0.0501,0.025,,,,0.9239,0.9239,0.269,5.125,-7.0,excluded: floor at boundary (degenerate)
Pythia v1 / Winogrande / 5-shot,Pythia v1,,Winogrande,5,parameters,7,6,0.716654,0.0,,,0.0605,0.0303,,,,0.913,0.913,0.287,5.125,-10.0,excluded: floor at boundary (degenerate)
Pythia v1 deduped / ARC-Challenge,Pythia v1 deduped,,ARC-Challenge,0,parameters,4,4,,,,,,,,,,,,,,,excluded: front shorter than six points
Pythia v1 deduped / ARC-Challenge / 5-shot,Pythia v1 deduped,,ARC-Challenge,5,parameters,5,5,,,,,,,,,,,,,,,excluded: front shorter than six points
Pythia v1 deduped / LogiQA,Pythia v1 deduped,,LogiQA,0,parameters,0,0,,,,,,,,,,,,,,,excluded: front shorter than six points
Pythia v1 deduped / LogiQA / 5-shot,Pythia v1 deduped,,LogiQA,5,parameters,2,2,,,,,,,,,,,,,,,excluded: front shorter than six points
Pythia v1 deduped / WSC,Pythia v1 deduped,,WSC,0,parameters,0,0,,,,,,,,,,,,,,,excluded: front shorter than six points
Pythia v1 deduped / WSC / 5-shot,Pythia v1 deduped,,WSC,5,parameters,0,0,,,,,,,,,,,,,,,excluded: front shorter than six points
Pythia v1 deduped / Winogrande,Pythia v1 deduped,,Winogrande,0,parameters,6,5,,,,,,,,,,,,,,,excluded: front shorter than six points
Pythia v1 deduped / Winogrande / 5-shot,Pythia v1 deduped,,Winogrande,5,parameters,7,7,0.66772,0.0,,,0.0845,0.0422,,,,0.9212,0.9212,0.377,4.29,-7.0,excluded: floor at boundary (degenerate)
