cell,lam_full,lam_a,lam_b,floor_a,floor_b
RTX Pro 6000 / compile bf16,0.2689130708143295,0.2558332296194688,0.28826474316876094,0.08828958383854929,0.09943999999046163
RTX Pro 6000 / eager amp-fp16,0.32389879075211353,0.3029730768970952,0.34369551834773376,0.09169016715515535,0.09943999999999928
CPU i7-12700H / compile fp32,0.3273233156872498,0.3175458580243686,0.3886243648193405,0.09943999999999999,0.10762000000000002
RTX 3090 / eager amp-fp16,0.32844447602496857,0.32870070165539594,0.3491088410982478,0.09943999999999999,0.10762000000000002
RTX 4090 / eager amp-fp16,0.3437922838672687,0.3282631379254509,0.3926225790997168,0.09943999999999999,0.10433999999999999
RTX 5090 / eager amp-fp16,0.34382203577769677,0.3446655864812969,0.3588286367030667,0.10572866547186865,0.09943999999999999
RTX 4090 / compile amp-fp16,0.34395526842247187,0.3518625640200569,0.35491451192304846,0.10589999999999994,0.09943999999999999
RTX 5090 / compile amp-fp16,0.3585803187965976,0.3627390925003606,0.37453011762260713,0.10589999999999991,0.09943999999999999
CPU i9-10940X / compile fp32,0.47531110638577445,0.5041802341356408,0.46633009391564934,0.10762000000000002,0.09943999999999999
