label,family,device,precision,task,benchmark_class,n_sizes,n_front,eps_min,eps_inf,alpha,lambda_star,boot_lo,boot_hi,boot_se,R2,S_range,x_range,d_aicc,status
qwen1.5 | 1xA10 | float16 | ARC-Challenge,qwen/qwen1.5,1xA10,float16,ARC-Challenge,retired,6,6,0.48687,0.342261,0.3933,0.1966,0.1083,0.3478,0.0606,0.9953,0.629,3.347,-3.91,identified
gpt2 | 1xT4 | float16 | MMLU-PRO,openai-community/gpt2,1xT4,float16,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2 | 1xT4 | float16 | MuSR,openai-community/gpt2,1xT4,float16,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2 | 1xT4 | float16 | Winogrande,openai-community/gpt2,1xT4,float16,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2 | 1xT4 | float32 | BBH,openai-community/gpt2,1xT4,float32,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2 | 1xT4 | float32 | GPQA,openai-community/gpt2,1xT4,float32,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2 | 1xT4 | float32 | GSM8K,openai-community/gpt2,1xT4,float32,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2 | 1xT4 | float32 | HellaSwag,openai-community/gpt2,1xT4,float32,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2 | 1xT4 | float32 | IFEval,openai-community/gpt2,1xT4,float32,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2 | 1xT4 | float32 | MATH Lvl 5,openai-community/gpt2,1xT4,float32,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2 | 1xT4 | float32 | MMLU,openai-community/gpt2,1xT4,float32,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2 | 1xT4 | float32 | MMLU-PRO,openai-community/gpt2,1xT4,float32,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2 | 1xT4 | float32 | MuSR,openai-community/gpt2,1xT4,float32,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2 | 1xT4 | float32 | Winogrande,openai-community/gpt2,1xT4,float32,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2 | 32vCPU-C7i | bfloat16 | BBH,openai-community/gpt2,32vCPU-C7i,bfloat16,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2 | 32vCPU-C7i | bfloat16 | GPQA,openai-community/gpt2,32vCPU-C7i,bfloat16,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2 | 32vCPU-C7i | bfloat16 | GSM8K,openai-community/gpt2,32vCPU-C7i,bfloat16,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2 | 32vCPU-C7i | bfloat16 | HellaSwag,openai-community/gpt2,32vCPU-C7i,bfloat16,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2 | 32vCPU-C7i | bfloat16 | IFEval,openai-community/gpt2,32vCPU-C7i,bfloat16,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2 | 32vCPU-C7i | bfloat16 | MATH Lvl 5,openai-community/gpt2,32vCPU-C7i,bfloat16,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2 | 32vCPU-C7i | bfloat16 | MMLU,openai-community/gpt2,32vCPU-C7i,bfloat16,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2 | 32vCPU-C7i | bfloat16 | MMLU-PRO,openai-community/gpt2,32vCPU-C7i,bfloat16,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2 | 32vCPU-C7i | bfloat16 | MuSR,openai-community/gpt2,32vCPU-C7i,bfloat16,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2 | 32vCPU-C7i | bfloat16 | Winogrande,openai-community/gpt2,32vCPU-C7i,bfloat16,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2 | 32vCPU-C7i | float16 | BBH,openai-community/gpt2,32vCPU-C7i,float16,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2 | 32vCPU-C7i | float16 | GPQA,openai-community/gpt2,32vCPU-C7i,float16,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2 | 32vCPU-C7i | float16 | GSM8K,openai-community/gpt2,32vCPU-C7i,float16,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2 | 32vCPU-C7i | float16 | HellaSwag,openai-community/gpt2,32vCPU-C7i,float16,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2 | 32vCPU-C7i | float16 | IFEval,openai-community/gpt2,32vCPU-C7i,float16,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2 | 32vCPU-C7i | float16 | MATH Lvl 5,openai-community/gpt2,32vCPU-C7i,float16,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2 | 32vCPU-C7i | float16 | MMLU,openai-community/gpt2,32vCPU-C7i,float16,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2 | 32vCPU-C7i | float16 | MMLU-PRO,openai-community/gpt2,32vCPU-C7i,float16,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2 | 32vCPU-C7i | float16 | MuSR,openai-community/gpt2,32vCPU-C7i,float16,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2 | 32vCPU-C7i | float16 | Winogrande,openai-community/gpt2,32vCPU-C7i,float16,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2 | 32vCPU-C7i | float32 | BBH,openai-community/gpt2,32vCPU-C7i,float32,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2 | 32vCPU-C7i | float32 | GPQA,openai-community/gpt2,32vCPU-C7i,float32,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2 | 32vCPU-C7i | float32 | GSM8K,openai-community/gpt2,32vCPU-C7i,float32,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2 | 32vCPU-C7i | float32 | HellaSwag,openai-community/gpt2,32vCPU-C7i,float32,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2 | 32vCPU-C7i | float32 | IFEval,openai-community/gpt2,32vCPU-C7i,float32,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2 | 32vCPU-C7i | float32 | MATH Lvl 5,openai-community/gpt2,32vCPU-C7i,float32,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2 | 32vCPU-C7i | float32 | MMLU,openai-community/gpt2,32vCPU-C7i,float32,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2 | 32vCPU-C7i | float32 | MMLU-PRO,openai-community/gpt2,32vCPU-C7i,float32,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2 | 32vCPU-C7i | float32 | MuSR,openai-community/gpt2,32vCPU-C7i,float32,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2 | 32vCPU-C7i | float32 | Winogrande,openai-community/gpt2,32vCPU-C7i,float32,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xA10 | bfloat16 | ARC-Challenge,openai-community/gpt2-large,1xA10,bfloat16,ARC-Challenge,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xA10 | bfloat16 | BBH,openai-community/gpt2-large,1xA10,bfloat16,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xA10 | bfloat16 | GPQA,openai-community/gpt2-large,1xA10,bfloat16,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xA10 | bfloat16 | GSM8K,openai-community/gpt2-large,1xA10,bfloat16,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xA10 | bfloat16 | HellaSwag,openai-community/gpt2-large,1xA10,bfloat16,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xA10 | bfloat16 | IFEval,openai-community/gpt2-large,1xA10,bfloat16,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xA10 | bfloat16 | MATH Lvl 5,openai-community/gpt2-large,1xA10,bfloat16,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xA10 | bfloat16 | MMLU,openai-community/gpt2-large,1xA10,bfloat16,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xA10 | bfloat16 | MMLU-PRO,openai-community/gpt2-large,1xA10,bfloat16,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xA10 | bfloat16 | MuSR,openai-community/gpt2-large,1xA10,bfloat16,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xA10 | bfloat16 | Winogrande,openai-community/gpt2-large,1xA10,bfloat16,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xA10 | float16 | ARC-Challenge,openai-community/gpt2-large,1xA10,float16,ARC-Challenge,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xA10 | float16 | BBH,openai-community/gpt2-large,1xA10,float16,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xA10 | float16 | GPQA,openai-community/gpt2-large,1xA10,float16,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xA10 | float16 | GSM8K,openai-community/gpt2-large,1xA10,float16,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xA10 | float16 | HellaSwag,openai-community/gpt2-large,1xA10,float16,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xA10 | float16 | IFEval,openai-community/gpt2-large,1xA10,float16,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xA10 | float16 | MATH Lvl 5,openai-community/gpt2-large,1xA10,float16,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xA10 | float16 | MMLU,openai-community/gpt2-large,1xA10,float16,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xA10 | float16 | MMLU-PRO,openai-community/gpt2-large,1xA10,float16,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xA10 | float16 | MuSR,openai-community/gpt2-large,1xA10,float16,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xA10 | float16 | Winogrande,openai-community/gpt2-large,1xA10,float16,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xA10 | float32 | ARC-Challenge,openai-community/gpt2-large,1xA10,float32,ARC-Challenge,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xA10 | float32 | BBH,openai-community/gpt2-large,1xA10,float32,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xA10 | float32 | GPQA,openai-community/gpt2-large,1xA10,float32,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xA10 | float32 | GSM8K,openai-community/gpt2-large,1xA10,float32,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xA10 | float32 | HellaSwag,openai-community/gpt2-large,1xA10,float32,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xA10 | float32 | IFEval,openai-community/gpt2-large,1xA10,float32,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xA10 | float32 | MATH Lvl 5,openai-community/gpt2-large,1xA10,float32,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xA10 | float32 | MMLU,openai-community/gpt2-large,1xA10,float32,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xA10 | float32 | MMLU-PRO,openai-community/gpt2-large,1xA10,float32,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xA10 | float32 | MuSR,openai-community/gpt2-large,1xA10,float32,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xA10 | float32 | Winogrande,openai-community/gpt2-large,1xA10,float32,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xT4 | bfloat16 | ARC-Challenge,openai-community/gpt2-large,1xT4,bfloat16,ARC-Challenge,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xT4 | bfloat16 | BBH,openai-community/gpt2-large,1xT4,bfloat16,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xT4 | bfloat16 | GPQA,openai-community/gpt2-large,1xT4,bfloat16,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xT4 | bfloat16 | GSM8K,openai-community/gpt2-large,1xT4,bfloat16,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xT4 | bfloat16 | HellaSwag,openai-community/gpt2-large,1xT4,bfloat16,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xT4 | bfloat16 | IFEval,openai-community/gpt2-large,1xT4,bfloat16,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xT4 | bfloat16 | MATH Lvl 5,openai-community/gpt2-large,1xT4,bfloat16,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xT4 | bfloat16 | MMLU,openai-community/gpt2-large,1xT4,bfloat16,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xT4 | bfloat16 | MMLU-PRO,openai-community/gpt2-large,1xT4,bfloat16,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xT4 | bfloat16 | MuSR,openai-community/gpt2-large,1xT4,bfloat16,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xT4 | bfloat16 | Winogrande,openai-community/gpt2-large,1xT4,bfloat16,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xT4 | float16 | ARC-Challenge,openai-community/gpt2-large,1xT4,float16,ARC-Challenge,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xT4 | float16 | BBH,openai-community/gpt2-large,1xT4,float16,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xT4 | float16 | GPQA,openai-community/gpt2-large,1xT4,float16,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xT4 | float16 | GSM8K,openai-community/gpt2-large,1xT4,float16,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xT4 | float16 | HellaSwag,openai-community/gpt2-large,1xT4,float16,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xT4 | float16 | IFEval,openai-community/gpt2-large,1xT4,float16,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xT4 | float16 | MATH Lvl 5,openai-community/gpt2-large,1xT4,float16,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xT4 | float16 | MMLU,openai-community/gpt2-large,1xT4,float16,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xT4 | float16 | MMLU-PRO,openai-community/gpt2-large,1xT4,float16,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xT4 | float16 | MuSR,openai-community/gpt2-large,1xT4,float16,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xT4 | float16 | Winogrande,openai-community/gpt2-large,1xT4,float16,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xT4 | float32 | ARC-Challenge,openai-community/gpt2-large,1xT4,float32,ARC-Challenge,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xT4 | float32 | BBH,openai-community/gpt2-large,1xT4,float32,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xT4 | float32 | GPQA,openai-community/gpt2-large,1xT4,float32,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xT4 | float32 | GSM8K,openai-community/gpt2-large,1xT4,float32,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xT4 | float32 | HellaSwag,openai-community/gpt2-large,1xT4,float32,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xT4 | float32 | IFEval,openai-community/gpt2-large,1xT4,float32,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xT4 | float32 | MATH Lvl 5,openai-community/gpt2-large,1xT4,float32,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xT4 | float32 | MMLU,openai-community/gpt2-large,1xT4,float32,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xT4 | float32 | MMLU-PRO,openai-community/gpt2-large,1xT4,float32,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xT4 | float32 | MuSR,openai-community/gpt2-large,1xT4,float32,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 1xT4 | float32 | Winogrande,openai-community/gpt2-large,1xT4,float32,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 32vCPU-C7i | bfloat16 | ARC-Challenge,openai-community/gpt2-large,32vCPU-C7i,bfloat16,ARC-Challenge,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 32vCPU-C7i | bfloat16 | BBH,openai-community/gpt2-large,32vCPU-C7i,bfloat16,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 32vCPU-C7i | bfloat16 | GPQA,openai-community/gpt2-large,32vCPU-C7i,bfloat16,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 32vCPU-C7i | bfloat16 | GSM8K,openai-community/gpt2-large,32vCPU-C7i,bfloat16,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 32vCPU-C7i | bfloat16 | HellaSwag,openai-community/gpt2-large,32vCPU-C7i,bfloat16,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 32vCPU-C7i | bfloat16 | IFEval,openai-community/gpt2-large,32vCPU-C7i,bfloat16,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 32vCPU-C7i | bfloat16 | MATH Lvl 5,openai-community/gpt2-large,32vCPU-C7i,bfloat16,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 32vCPU-C7i | bfloat16 | MMLU,openai-community/gpt2-large,32vCPU-C7i,bfloat16,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 32vCPU-C7i | bfloat16 | MMLU-PRO,openai-community/gpt2-large,32vCPU-C7i,bfloat16,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 32vCPU-C7i | bfloat16 | MuSR,openai-community/gpt2-large,32vCPU-C7i,bfloat16,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 32vCPU-C7i | bfloat16 | Winogrande,openai-community/gpt2-large,32vCPU-C7i,bfloat16,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 32vCPU-C7i | float16 | ARC-Challenge,openai-community/gpt2-large,32vCPU-C7i,float16,ARC-Challenge,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 32vCPU-C7i | float16 | BBH,openai-community/gpt2-large,32vCPU-C7i,float16,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 32vCPU-C7i | float16 | GPQA,openai-community/gpt2-large,32vCPU-C7i,float16,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 32vCPU-C7i | float16 | GSM8K,openai-community/gpt2-large,32vCPU-C7i,float16,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 32vCPU-C7i | float16 | HellaSwag,openai-community/gpt2-large,32vCPU-C7i,float16,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 32vCPU-C7i | float16 | IFEval,openai-community/gpt2-large,32vCPU-C7i,float16,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 32vCPU-C7i | float16 | MATH Lvl 5,openai-community/gpt2-large,32vCPU-C7i,float16,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 32vCPU-C7i | float16 | MMLU,openai-community/gpt2-large,32vCPU-C7i,float16,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 32vCPU-C7i | float16 | MMLU-PRO,openai-community/gpt2-large,32vCPU-C7i,float16,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 32vCPU-C7i | float16 | MuSR,openai-community/gpt2-large,32vCPU-C7i,float16,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 32vCPU-C7i | float16 | Winogrande,openai-community/gpt2-large,32vCPU-C7i,float16,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 32vCPU-C7i | float32 | ARC-Challenge,openai-community/gpt2-large,32vCPU-C7i,float32,ARC-Challenge,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 32vCPU-C7i | float32 | BBH,openai-community/gpt2-large,32vCPU-C7i,float32,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 32vCPU-C7i | float32 | GPQA,openai-community/gpt2-large,32vCPU-C7i,float32,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 32vCPU-C7i | float32 | GSM8K,openai-community/gpt2-large,32vCPU-C7i,float32,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 32vCPU-C7i | float32 | HellaSwag,openai-community/gpt2-large,32vCPU-C7i,float32,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 32vCPU-C7i | float32 | IFEval,openai-community/gpt2-large,32vCPU-C7i,float32,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 32vCPU-C7i | float32 | MATH Lvl 5,openai-community/gpt2-large,32vCPU-C7i,float32,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 32vCPU-C7i | float32 | MMLU,openai-community/gpt2-large,32vCPU-C7i,float32,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 32vCPU-C7i | float32 | MMLU-PRO,openai-community/gpt2-large,32vCPU-C7i,float32,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 32vCPU-C7i | float32 | MuSR,openai-community/gpt2-large,32vCPU-C7i,float32,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
gpt2-large | 32vCPU-C7i | float32 | Winogrande,openai-community/gpt2-large,32vCPU-C7i,float32,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
llama | 1xA10 | bfloat16 | ARC-Challenge,huggyllama/llama,1xA10,bfloat16,ARC-Challenge,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
llama | 1xA10 | bfloat16 | BBH,huggyllama/llama,1xA10,bfloat16,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
llama | 1xA10 | bfloat16 | GPQA,huggyllama/llama,1xA10,bfloat16,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
llama | 1xA10 | bfloat16 | GSM8K,huggyllama/llama,1xA10,bfloat16,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
llama | 1xA10 | bfloat16 | HellaSwag,huggyllama/llama,1xA10,bfloat16,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
llama | 1xA10 | bfloat16 | IFEval,huggyllama/llama,1xA10,bfloat16,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
llama | 1xA10 | bfloat16 | MATH Lvl 5,huggyllama/llama,1xA10,bfloat16,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
llama | 1xA10 | bfloat16 | MMLU,huggyllama/llama,1xA10,bfloat16,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
llama | 1xA10 | bfloat16 | MMLU-PRO,huggyllama/llama,1xA10,bfloat16,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
llama | 1xA10 | bfloat16 | MuSR,huggyllama/llama,1xA10,bfloat16,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
llama | 1xA10 | bfloat16 | Winogrande,huggyllama/llama,1xA10,bfloat16,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
llama | 1xA10 | float16 | ARC-Challenge,huggyllama/llama,1xA10,float16,ARC-Challenge,retired,2,2,0.5848,,,,,,,,0.112,0.649,,excluded: front shorter than six points
llama | 1xA10 | float16 | BBH,huggyllama/llama,1xA10,float16,BBH,headroom,2,2,0.83854,,,,,,,,0.103,0.649,,excluded: front shorter than six points
llama | 1xA10 | float16 | GPQA,huggyllama/llama,1xA10,float16,GPQA,headroom,2,2,0.99329,,,,,,,,0.003,0.649,,excluded: front shorter than six points
llama | 1xA10 | float16 | GSM8K,huggyllama/llama,1xA10,float16,GSM8K,retired,2,1,,,,,,,,,,,,excluded: front shorter than six points
llama | 1xA10 | float16 | HellaSwag,huggyllama/llama,1xA10,float16,HellaSwag,retired,2,2,0.2544,,,,,,,,0.151,0.649,,excluded: front shorter than six points
llama | 1xA10 | float16 | IFEval,huggyllama/llama,1xA10,float16,IFEval,headroom,2,1,,,,,,,,,,,,excluded: front shorter than six points
llama | 1xA10 | float16 | MATH Lvl 5,huggyllama/llama,1xA10,float16,MATH Lvl 5,headroom,2,2,0.97961,,,,,,,,0.012,0.649,,excluded: front shorter than six points
llama | 1xA10 | float16 | MMLU,huggyllama/llama,1xA10,float16,MMLU,retired,2,2,0.69853,,,,,,,,0.205,0.649,,excluded: front shorter than six points
