label,suite,model,task,shots,resource,n_sizes,n_front,eps_min,eps_inf,floor_lo,floor_hi,alpha,lambda_star,boot_lo,boot_hi,boot_se,R2,R2_power,S_range,x_range,d_aicc,status
Pythia v1 pythia-12b / ARC-Challenge,Pythia v1,pythia-12b,ARC-Challenge,0,training tokens,13,10,0.898748,0.0,,,0.0461,0.0231,,,,0.9391,0.9391,0.076,1.755,-4.29,excluded: floor at boundary (degenerate)
Pythia v1 pythia-12b / ARC-Easy,Pythia v1,pythia-12b,ARC-Easy,0,training tokens,26,16,0.396745,0.0,,,0.076,0.038,,,,0.7551,0.7551,0.914,11.871,-3.08,excluded: floor at boundary (degenerate)
Pythia v1 pythia-12b / PIQA,Pythia v1,pythia-12b,PIQA,0,training tokens,26,18,0.468988,0.0,,,0.0593,0.0297,,,,0.8933,0.8933,0.722,11.798,-2.91,excluded: floor at boundary (degenerate)
Pythia v1 pythia-12b / WSC,Pythia v1,pythia-12b,WSC,0,training tokens,20,1,,,,,,,,,,,,,,,excluded: front shorter than six points
Pythia v1 pythia-12b / Winogrande,Pythia v1,pythia-12b,Winogrande,0,training tokens,18,11,0.715074,0.0,,,0.03,0.015,,,,0.6782,0.6782,0.335,10.334,-3.93,excluded: floor at boundary (degenerate)
Pythia v1 pythia-12b / Winogrande / 5-shot,Pythia v1,pythia-12b,Winogrande,5,training tokens,14,9,0.686662,0.0,,,0.1058,0.0529,,,,0.8751,0.8751,0.364,3.629,-4.8,excluded: floor at boundary (degenerate)
Pythia v1 pythia-160m / ARC-Easy,Pythia v1,pythia-160m,ARC-Easy,0,training tokens,26,13,0.716611,0.0,,,0.0297,0.0148,,,,0.8492,0.8492,0.323,11.44,-3.47,excluded: floor at boundary (degenerate)
Pythia v1 pythia-160m / PIQA,Pythia v1,pythia-160m,PIQA,0,training tokens,26,9,0.729054,0.0,,,0.0259,0.013,,,,0.7271,0.7271,0.266,10.669,-4.8,excluded: floor at boundary (degenerate)
Pythia v1 pythia-160m / PIQA / 5-shot,Pythia v1,pythia-160m,PIQA,5,training tokens,15,5,,,,,,,,,,,,,,,excluded: front shorter than six points
Pythia v1 pythia-160m / SciQ,Pythia v1,pythia-160m,SciQ,0,training tokens,16,5,,,,,,,,,,,,,,,excluded: front shorter than six points
Pythia v1 pythia-160m / WSC,Pythia v1,pythia-160m,WSC,0,training tokens,7,3,,,,,,,,,,,,,,,excluded: front shorter than six points
Pythia v1 pythia-160m / Winogrande,Pythia v1,pythia-160m,Winogrande,0,training tokens,17,5,,,,,,,,,,,,,,,excluded: front shorter than six points
Pythia v1 pythia-160m / Winogrande / 5-shot,Pythia v1,pythia-160m,Winogrande,5,training tokens,15,1,,,,,,,,,,,,,,,excluded: front shorter than six points
Pythia v1 pythia-2.8b / ARC-Challenge / 5-shot,Pythia v1,pythia-2.8b,ARC-Challenge,5,training tokens,13,8,0.901024,0.0,,,0.0495,0.0248,,,,0.9436,0.9436,0.073,1.677,-5.6,excluded: floor at boundary (degenerate)
Pythia v1 pythia-2.8b / ARC-Easy,Pythia v1,pythia-2.8b,ARC-Easy,0,training tokens,23,19,0.474748,0.0,,,0.0763,0.0381,,,,0.8736,0.8736,0.721,9.791,-2.85,excluded: floor at boundary (degenerate)
Pythia v1 pythia-2.8b / PIQA,Pythia v1,pythia-2.8b,PIQA,0,training tokens,26,13,0.50925,0.0,,,0.0473,0.0237,,,,0.8528,0.8528,0.607,11.635,-3.47,excluded: floor at boundary (degenerate)
Pythia v1 pythia-2.8b / WSC,Pythia v1,pythia-2.8b,WSC,0,training tokens,7,1,,,,,,,,,,,,,,,excluded: front shorter than six points
Pythia v1 pythia-2.8b / Winogrande,Pythia v1,pythia-2.8b,Winogrande,0,training tokens,23,14,0.800316,0.0,,,0.0167,0.0084,,,,0.8605,0.8605,0.209,11.798,-3.31,excluded: floor at boundary (degenerate)
Pythia v1 pythia-2.8b / Winogrande / 5-shot,Pythia v1,pythia-2.8b,Winogrande,5,training tokens,15,10,0.765588,0.0,,,0.0683,0.0342,,,,0.9256,0.9256,0.25,3.792,-4.29,excluded: floor at boundary (degenerate)
Pythia v1 pythia-410m / ARC-Easy,Pythia v1,pythia-410m,ARC-Easy,0,training tokens,24,16,0.638608,0.0,,,0.04,0.02,,,,0.8403,0.8403,0.447,11.871,-3.08,excluded: floor at boundary (degenerate)
Pythia v1 pythia-410m / PIQA,Pythia v1,pythia-410m,PIQA,0,training tokens,26,14,0.64962,0.0,,,0.0323,0.0162,,,,0.8167,0.8167,0.359,11.798,-3.31,excluded: floor at boundary (degenerate)
Pythia v1 pythia-410m / PIQA / 5-shot,Pythia v1,pythia-410m,PIQA,5,training tokens,15,5,,,,,,,,,,,,,,,excluded: front shorter than six points
Pythia v1 pythia-410m / WSC,Pythia v1,pythia-410m,WSC,0,training tokens,16,1,,,,,,,,,,,,,,,excluded: front shorter than six points
Pythia v1 pythia-410m / Winogrande / 5-shot,Pythia v1,pythia-410m,Winogrande,5,training tokens,15,5,,,,,,,,,,,,,,,excluded: front shorter than six points
Pythia v1 pythia-6.9b / ARC-Easy,Pythia v1,pythia-6.9b,ARC-Easy,0,training tokens,26,19,0.431537,0.0,,,0.0649,0.0324,,,,0.804,0.804,0.836,11.798,-2.85,excluded: floor at boundary (degenerate)
Pythia v1 pythia-6.9b / LogiQA / 5-shot,Pythia v1,pythia-6.9b,LogiQA,5,training tokens,6,2,,,,,,,,,,,,,,,excluded: front shorter than six points
Pythia v1 pythia-6.9b / PIQA,Pythia v1,pythia-6.9b,PIQA,0,training tokens,26,10,0.482046,0.0,,,0.0503,0.0251,,,,0.8658,0.8658,0.642,11.798,-4.29,excluded: floor at boundary (degenerate)
Pythia v1 pythia-6.9b / Winogrande,Pythia v1,pythia-6.9b,Winogrande,0,training tokens,19,8,0.748224,0.0,,,0.0317,0.0158,,,,0.7003,0.7003,0.285,6.783,-5.6,excluded: floor at boundary (degenerate)
Pythia v1 pythia-6.9b / Winogrande / 5-shot,Pythia v1,pythia-6.9b,Winogrande,5,training tokens,15,12,0.718232,0.0,,,0.0881,0.0441,,,,0.8189,0.8189,0.308,3.714,-3.67,excluded: floor at boundary (degenerate)
Pythia v1 pythia-70m / ARC-Easy,Pythia v1,pythia-70m,ARC-Easy,0,training tokens,26,9,0.787879,0.0,,,0.0194,0.0097,,,,0.7702,0.7702,0.209,11.051,-4.8,excluded: floor at boundary (degenerate)
Pythia v1 pythia-70m / ARC-Easy / 5-shot,Pythia v1,pythia-70m,ARC-Easy,5,training tokens,15,3,,,,,,,,,,,,,,,excluded: front shorter than six points
Pythia v1 pythia-70m / PIQA,Pythia v1,pythia-70m,PIQA,0,training tokens,26,9,0.784548,0.0,,,0.0183,0.0092,,,,0.8955,0.8955,0.19,10.043,-4.8,excluded: floor at boundary (degenerate)
Pythia v1 pythia-70m / PIQA / 5-shot,Pythia v1,pythia-70m,PIQA,5,training tokens,15,5,,,,,,,,,,,,,,,excluded: front shorter than six points
Pythia v1 pythia-70m / SciQ / 5-shot,Pythia v1,pythia-70m,SciQ,5,training tokens,15,5,,,,,,,,,,,,,,,excluded: front shorter than six points
Pythia v1 pythia-70m / WSC,Pythia v1,pythia-70m,WSC,0,training tokens,10,2,,,,,,,,,,,,,,,excluded: front shorter than six points
Pythia v1 pythia-70m / Winogrande / 5-shot,Pythia v1,pythia-70m,Winogrande,5,training tokens,14,4,,,,,,,,,,,,,,,excluded: front shorter than six points
