suite,model,key,task,harness_task,chance,shots,step,train_tokens,params,nonemb,acc
OPT,opt-13b,13b,ARC-Easy,arc_easy,0.25,0,143000,299892736000,13000000000.0,,0.670875
OPT,opt-30b,30b,ARC-Easy,arc_easy,0.25,0,143000,299892736000,30000000000.0,,0.699916
OPT,opt-66b,66b,ARC-Easy,arc_easy,0.25,0,143000,299892736000,66000000000.0,,0.716751
OPT,opt-125m,125m,LAMBADA,lambada_openai,0.0,0,143000,299892736000,125000000.0,,0.379003
OPT,opt-350m,350m,LAMBADA,lambada_openai,0.0,0,143000,299892736000,350000000.0,,0.451582
OPT,opt-1.3b,1.3b,LAMBADA,lambada_openai,0.0,0,143000,299892736000,1300000000.0,,0.579274
OPT,opt-2.7b,2.7b,LAMBADA,lambada_openai,0.0,0,143000,299892736000,2700000000.0,,0.63594
OPT,opt-6.7b,6.7b,LAMBADA,lambada_openai,0.0,0,143000,299892736000,6700000000.0,,0.677081
OPT,opt-13b,13b,LAMBADA,lambada_openai,0.0,0,143000,299892736000,13000000000.0,,0.686396
OPT,opt-30b,30b,LAMBADA,lambada_openai,0.0,0,143000,299892736000,30000000000.0,,0.714535
OPT,opt-66b,66b,LAMBADA,lambada_openai,0.0,0,143000,299892736000,66000000000.0,,0.738987
OPT,opt-125m,125m,LogiQA,logiqa,0.25,0,143000,299892736000,125000000.0,,0.227343
OPT,opt-350m,350m,LogiQA,logiqa,0.25,0,143000,299892736000,350000000.0,,0.210445
OPT,opt-1.3b,1.3b,LogiQA,logiqa,0.25,0,143000,299892736000,1300000000.0,,0.222734
OPT,opt-2.7b,2.7b,LogiQA,logiqa,0.25,0,143000,299892736000,2700000000.0,,0.210445
OPT,opt-6.7b,6.7b,LogiQA,logiqa,0.25,0,143000,299892736000,6700000000.0,,0.235023
OPT,opt-13b,13b,LogiQA,logiqa,0.25,0,143000,299892736000,13000000000.0,,0.227343
OPT,opt-30b,30b,LogiQA,logiqa,0.25,0,143000,299892736000,30000000000.0,,0.21659
OPT,opt-66b,66b,LogiQA,logiqa,0.25,0,143000,299892736000,66000000000.0,,0.227343
OPT,opt-125m,125m,PIQA,piqa,0.5,0,143000,299892736000,125000000.0,,0.630033
OPT,opt-350m,350m,PIQA,piqa,0.5,0,143000,299892736000,350000000.0,,0.643634
OPT,opt-1.3b,1.3b,PIQA,piqa,0.5,0,143000,299892736000,1300000000.0,,0.717084
OPT,opt-2.7b,2.7b,PIQA,piqa,0.5,0,143000,299892736000,2700000000.0,,0.738847
OPT,opt-6.7b,6.7b,PIQA,piqa,0.5,0,143000,299892736000,6700000000.0,,0.762786
OPT,opt-13b,13b,PIQA,piqa,0.5,0,143000,299892736000,13000000000.0,,0.759521
