task,dataset,model,device,runtime,precision,cell,metric,Q,chance,latency_ms,param_count,gmacs,source
Image classification,ImageNet-1k,test_byobnet,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.45858,0.001,1.0747141260424726,0.46,0.03,timm
Image classification,ImageNet-1k,test_vit,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.40982,0.001,1.3295927457419792,0.37,0.04,timm
Image classification,ImageNet-1k,test_efficientnet,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.46506,0.001,1.5454278517007431,0.36,0.06,timm
Image classification,ImageNet-1k,mobilenetv3_small_075,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.6528400000000001,0.001,2.541296060991105,2.04,0.05,timm
Image classification,ImageNet-1k,mobilenetv3_small_050,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.57918,0.001,2.603895427559629,1.59,0.03,timm
Image classification,ImageNet-1k,tf_mobilenetv3_small_minimal_100,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.62892,0.001,2.6362965306337656,2.04,0.06,timm
Image classification,ImageNet-1k,tinynet_e,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.59874,0.001,2.6551257202028515,2.04,0.03,timm
Image classification,ImageNet-1k,mobilenetv3_small_100,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.67636,0.001,2.673296441842436,2.54,0.06,timm
Image classification,ImageNet-1k,lcnet_075,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.68786,0.001,2.675943270002676,2.36,0.1,timm
Image classification,ImageNet-1k,lcnet_050,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.6313799999999999,0.001,2.74228048044754,1.88,0.05,timm
Image classification,ImageNet-1k,tf_mobilenetv3_small_100,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.6792199999999999,0.001,3.098565364236358,2.54,0.06,timm
Image classification,ImageNet-1k,tf_mobilenetv3_small_075,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.65706,0.001,3.349522693016245,2.04,0.05,timm
Image classification,ImageNet-1k,lcnet_100,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.7212999999999999,0.001,3.426182889642649,2.95,0.16,timm
Image classification,ImageNet-1k,mnasnet_small,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.66204,0.001,3.7601052829479222,2.03,0.07,timm
Image classification,ImageNet-1k,mobilenetv4_conv_small,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.73756,0.001,4.016548178495401,3.77,0.19,timm
Image classification,ImageNet-1k,regnetx_002,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.68758,0.001,4.212832287146648,2.68,0.2,timm
Image classification,ImageNet-1k,tinynet_d,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.6693600000000001,0.001,4.294979169351029,2.34,0.05,timm
Image classification,ImageNet-1k,mobilenetv2_050,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.65928,0.001,4.518140333438756,1.97,0.1,timm
Image classification,ImageNet-1k,efficientvit_b0,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.71408,0.001,4.759864819839117,3.41,0.1,timm
Image classification,ImageNet-1k,regnety_002,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.70288,0.001,4.770082045411181,3.16,0.2,timm
Image classification,ImageNet-1k,mobilenetv4_conv_small,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.7464400000000001,0.001,5.00225101295583,3.77,0.25,timm
Image classification,ImageNet-1k,efficientvit_m0,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.63304,0.001,5.407743889249406,2.35,0.08,timm
Image classification,ImageNet-1k,repghostnet_050,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.6697799999999999,0.001,5.470758794244762,2.31,0.05,timm
Image classification,ImageNet-1k,repghostnet_058,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.68938,0.001,5.526999392030067,2.55,0.07,timm
Image classification,ImageNet-1k,tinynet_c,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.71214,0.001,5.640157924421883,2.46,0.11,timm
Image classification,ImageNet-1k,levit_128s,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.7652,0.001,5.772005772005772,7.78,0.31,timm
Image classification,ImageNet-1k,hardcorenas_a,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.75926,0.001,6.270771932024832,5.26,0.23,timm
Image classification,ImageNet-1k,resnet10t,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.66724,0.001,6.30596544330937,5.44,0.7,timm
Image classification,ImageNet-1k,efficientvit_m2,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.70796,0.001,6.403688524590164,4.19,0.2,timm
Image classification,ImageNet-1k,mobilenetv1_100,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.7538800000000001,0.001,6.410667350471184,4.23,0.58,timm
Image classification,ImageNet-1k,hgnetv2_b0,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.77362,0.001,6.492663290481755,6.0,0.33,timm
Image classification,ImageNet-1k,semnasnet_075,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.73,0.001,6.497303618998116,2.91,0.23,timm
Image classification,ImageNet-1k,levit_conv_128s,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.76534,0.001,6.608948516291058,7.78,0.31,timm
Image classification,ImageNet-1k,mobilenetv2_100,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.7291,0.001,6.615506747816883,3.5,0.31,timm
Image classification,ImageNet-1k,repghostnet_080,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.7223999999999999,0.001,6.636580833554552,3.28,0.1,timm
Image classification,ImageNet-1k,efficientvit_m1,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.6834,0.001,6.70555890833501,2.98,0.17,timm
Image classification,ImageNet-1k,mobilenetv3_rw,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.7561599999999999,0.001,6.716367788300088,5.48,0.23,timm
Image classification,ImageNet-1k,semnasnet_100,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.75452,0.001,6.7663576696664185,3.89,0.32,timm
Image classification,ImageNet-1k,mnasnet_100,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.7467199999999999,0.001,6.799483239273815,4.38,0.33,timm
Image classification,ImageNet-1k,edgenext_xx_small,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.7188599999999999,0.001,6.8601221101735606,1.33,0.33,timm
Image classification,ImageNet-1k,edgenext_xx_small,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.7113200000000001,0.001,7.004763239002522,1.33,0.26,timm
Image classification,ImageNet-1k,mobilenetv3_large_100,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.7718200000000001,0.001,7.0901871809415775,5.48,0.29,timm
Image classification,ImageNet-1k,hardcorenas_b,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.7655,0.001,7.170514842965725,5.18,0.26,timm
Image classification,ImageNet-1k,mobilenetv1_100h,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.75664,0.001,7.298204641658152,5.28,0.63,timm
Image classification,ImageNet-1k,repghostnet_100,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.74208,0.001,7.31528895391368,4.07,0.15,timm
Image classification,ImageNet-1k,tf_mobilenetv3_large_minimal_100,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.7227,0.001,7.400281210686006,3.92,0.22,timm
Image classification,ImageNet-1k,mobilenetv3_large_100,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.7792,0.001,7.401376656058026,5.48,0.23,timm
Image classification,ImageNet-1k,tf_mobilenetv3_large_075,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.73442,0.001,7.51653638003608,3.99,0.16,timm
Image classification,ImageNet-1k,levit_128,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.78486,0.001,7.76276975624903,9.21,0.41,timm
Image classification,ImageNet-1k,tinynet_b,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.74946,0.001,7.810059356451109,3.73,0.21,timm
Image classification,ImageNet-1k,regnetx_004,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.72482,0.001,7.8125,5.16,0.4,timm
Image classification,ImageNet-1k,hardcorenas_c,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.7709199999999999,0.001,7.928327915642591,5.52,0.28,timm
Image classification,ImageNet-1k,efficientnet_lite0,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.75488,0.001,8.0147471347279,4.65,0.4,timm
Image classification,ImageNet-1k,regnetx_006,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.7390399999999999,0.001,8.019889325527307,6.2,0.61,timm
Image classification,ImageNet-1k,regnetx_004_tv,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.7459600000000001,0.001,8.087343307723412,5.5,0.42,timm
Image classification,ImageNet-1k,spnasnet_100,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.74086,0.001,8.198737394441256,4.42,0.35,timm
Image classification,ImageNet-1k,tf_mobilenetv3_large_100,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.7551000000000001,0.001,8.433836552247618,5.48,0.23,timm
Image classification,ImageNet-1k,hardcorenas_d,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.7745000000000001,0.001,8.535336292249914,7.5,0.3,timm
Image classification,ImageNet-1k,mobilenetv1_125,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.7692,0.001,8.616975441619992,6.27,0.89,timm
Image classification,ImageNet-1k,fbnetc_100,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.7512000000000001,0.001,8.648274669203495,5.57,0.4,timm
Image classification,ImageNet-1k,hardcorenas_f,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.7809999999999999,0.001,8.676789587852495,8.2,0.35,timm
Image classification,ImageNet-1k,mobilenetv2_110d,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.75056,0.001,8.758101243650376,4.52,0.45,timm
Image classification,ImageNet-1k,levit_conv_128,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.78488,0.001,8.819119851838787,9.21,0.41,timm
Image classification,ImageNet-1k,dla46_c,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.6487999999999999,0.001,8.83158173628897,1.3,0.58,timm
Image classification,ImageNet-1k,regnety_004,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.75594,0.001,8.951750067138127,4.34,0.41,timm
Image classification,ImageNet-1k,vit_tiny_r_s16_p8_224,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.718,0.001,9.048136083966703,6.34,0.44,timm
Image classification,ImageNet-1k,mobilevitv2_050,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.7015600000000001,0.001,9.050592813829306,1.37,0.48,timm
Image classification,ImageNet-1k,mobilenetv2_140,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.7652800000000001,0.001,9.137426900584796,6.11,0.6,timm
Image classification,ImageNet-1k,repghostnet_111,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.7506,0.001,9.1734703238235,4.54,0.18,timm
Image classification,ImageNet-1k,mobilenetv1_100,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.7608799999999999,0.001,9.182736455463727,4.23,0.76,timm
Image classification,ImageNet-1k,dla46x_c,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.66008,0.001,9.200478424878094,1.07,0.54,timm
Image classification,ImageNet-1k,efficientvit_m4,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.74344,0.001,9.24385283786282,8.8,0.3,timm
Image classification,ImageNet-1k,hardcorenas_e,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.77788,0.001,9.246417013407305,8.07,0.35,timm
Image classification,ImageNet-1k,convnext_atto,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.75672,0.001,9.263547938860585,3.7,0.55,timm
Image classification,ImageNet-1k,efficientvit_m3,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.73394,0.001,9.330098899048329,6.9,0.27,timm
Image classification,ImageNet-1k,edgenext_x_small,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.74874,0.001,9.34492103541725,2.34,0.54,timm
Image classification,ImageNet-1k,regnety_006,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.75274,0.001,9.449116507606538,6.06,0.61,timm
Image classification,ImageNet-1k,gernet_s,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.76874,0.001,9.585889570552148,8.17,0.75,timm
Image classification,ImageNet-1k,resnet18,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.6567000000000001,0.001,9.686168151879118,11.69,0.93,timm
Image classification,ImageNet-1k,mobilenetv1_100h,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.76598,0.001,9.707795359673815,5.28,0.82,timm
Image classification,ImageNet-1k,tf_efficientnetv2_b0,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.76876,0.001,9.781864423359092,7.14,0.54,timm
Image classification,ImageNet-1k,hgnetv2_b1,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.78884,0.001,9.852216748768472,6.34,0.49,timm
Image classification,ImageNet-1k,ghostnet_100,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.73958,0.001,9.865824782951854,5.18,0.15,timm
Image classification,ImageNet-1k,resnet10t,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.68354,0.001,9.893153937475269,5.44,1.1,timm
Image classification,ImageNet-1k,levit_conv_192,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.7986,0.001,9.912767644726408,10.95,0.66,timm
Image classification,ImageNet-1k,levit_192,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.7985800000000001,0.001,9.91375037176564,10.95,0.66,timm
Image classification,ImageNet-1k,regnetx_008,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.77294,0.001,9.98302885095338,7.26,0.81,timm
Image classification,ImageNet-1k,cs3darknet_focus_s,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.72178,0.001,10.075566750629722,3.27,0.69,timm
Image classification,ImageNet-1k,tinynet_a,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.77666,0.001,10.094891984655764,6.19,0.35,timm
Image classification,ImageNet-1k,repghostnet_130,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.76378,0.001,10.095911155981828,5.48,0.25,timm
Image classification,ImageNet-1k,pit_ti_distilled_224,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.74276,0.001,10.135819987837015,5.1,0.71,timm
Image classification,ImageNet-1k,tf_efficientnet_lite0,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.74846,0.001,10.27749229188078,4.65,0.4,timm
Image classification,ImageNet-1k,pit_ti_224,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.72926,0.001,10.289124395513944,4.85,0.7,timm
Image classification,ImageNet-1k,regnety_008,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.76334,0.001,10.295480284155255,6.26,0.81,timm
Image classification,ImageNet-1k,convnext_atto_ols,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.75902,0.001,10.331645831180907,3.7,0.58,timm
Image classification,ImageNet-1k,hgnetv2_b0,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.7859,0.001,10.3359173126615,6.0,0.54,timm
Image classification,ImageNet-1k,regnety_008_tv,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.78672,0.001,10.590976488032195,6.43,0.84,timm
Image classification,ImageNet-1k,repghostnet_150,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.77474,0.001,10.642826734780758,6.58,0.32,timm
Image classification,ImageNet-1k,efficientnet_b0,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.7856799999999999,0.001,10.686044026501389,5.29,0.4,timm
Image classification,ImageNet-1k,efficientvit_b1,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.79254,0.001,10.906314756243866,9.1,0.53,timm
Image classification,ImageNet-1k,rexnet_100,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.77862,0.001,10.954102311315587,4.8,0.41,timm
Image classification,ImageNet-1k,mobilevit_xxs,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.6893600000000001,0.001,11.031439602868174,1.27,0.42,timm
Image classification,ImageNet-1k,edgenext_x_small,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.7570600000000001,0.001,11.058277120424638,2.34,0.68,timm
Image classification,ImageNet-1k,convnext_femto_ols,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.77852,0.001,11.210762331838565,5.23,0.82,timm
Image classification,ImageNet-1k,mobilenetv1_125,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.7761199999999999,0.001,11.254924029262805,6.27,1.16,timm
Image classification,ImageNet-1k,xcit_nano_12_p16_224,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.7231799999999999,0.001,11.39211665527455,3.05,0.56,timm
Image classification,ImageNet-1k,efficientformerv2_s0,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.76102,0.001,11.519410206197442,3.6,0.41,timm
Image classification,ImageNet-1k,convnextv2_atto,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.76644,0.001,11.5233924867481,3.71,0.55,timm
Image classification,ImageNet-1k,mobilenetv4_conv_medium,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.79092,0.001,11.83431952662722,9.72,0.84,timm
Image classification,ImageNet-1k,dla60x_c,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.67928,0.001,11.870845204178538,1.32,0.59,timm
Image classification,ImageNet-1k,tf_efficientnetv2_b1,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.7793399999999999,0.001,11.941724385001194,8.14,0.76,timm
Image classification,ImageNet-1k,efficientnet_b0,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.79364,0.001,12.166930283489476,5.29,0.52,timm
Image classification,ImageNet-1k,resnet14t,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.7131799999999999,0.001,12.212994626282365,10.08,1.07,timm
Image classification,ImageNet-1k,hgnetv2_b1,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.79916,0.001,12.275963663147555,6.34,0.82,timm
Image classification,ImageNet-1k,mobileone_s1,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.7576,0.001,12.32589670898558,4.83,0.86,timm
Image classification,ImageNet-1k,efficientvit_b1,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.7973399999999999,0.001,12.357884330202667,9.1,0.69,timm
Image classification,ImageNet-1k,mobilenetv2_120d,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.773,0.001,12.40233163834801,5.83,0.69,timm
Image classification,ImageNet-1k,ese_vovnet19b_dw,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.7682800000000001,0.001,12.414649286157667,6.54,1.34,timm
Image classification,ImageNet-1k,fbnetv3_b,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.78184,0.001,12.416190712689346,8.6,0.42,timm
