cell,n_models,n_pareto,b,lo,hi,r2
"pt|Micro-Star International Co., Ltd. MS-7E27",13961,34,0.4133333560034959,0.36960947557089013,0.4458689664282177,0.9532928446772115
tflite|24040RN64Y,1285,6,0.029605700438552086,0.017932159451402953,1.2565310971640775,0.6655460200501544
tflite|Pixel 4,1284,5,0.023867889125292533,0.005041632066478134,4.7196434885042455,0.35065858881617185
tflite|SM-T970,1284,6,0.07437047074912627,0.010889011219009601,0.1610903164911938,0.5478964004365294
tflite|23106RN0DA,591,6,0.028234439283449538,0.017113516154788594,0.7149140123338216,0.639081623400552
tflite|SM-F926B,586,5,0.022589211322071756,0.018152679780009937,1.286430400712651,0.9043610060136498
tflite|Redmi Note 9 Pro,586,6,0.02206748019067155,0.017729582345604147,1.7684490806048085,0.8917057177840453
tflite|SM-P613,586,5,0.024149763377951643,0.017116005709347275,41.23365896847829,0.7671892078925511
onnx|HP Omen 16 i7-13620H,444,17,0.813977781702619,0.6873974621403494,1.2516090173896288,0.8745726690338
